##id	name	Amused	Disappointed	Indignant	Satisfied	Worried
401864	Lettore_401864	0.11	0.02	0.55	0.25	0.04
2848857	antoluca	0.11	0.33	0.07	0.4	0.07
5654013	opus77	0.1	0.03	0.28	0.54	0.01
8153618	pier52	0.21	0.07	0.4	0.19	0.1
888863	ricerca13	0.06	0.08	0.66	0.08	0.09
10145836	argos80	0.04	0.12	0.6	0.17	0.05
8732291	Lettore_8732291	0.5	0	0	0	0.5
1901901	Albertoms	0.2	0.12	0.3	0.35	0.02
919901	Badguglie	0.24	0.08	0.22	0.35	0.09
5516551	Pierpino	0.1	0.05	0.6	0.13	0.1
5392411	christians	0.08	0.25	0.33	0.16	0.16
2200814	Ilo_1962	0.25	0	0.25	0.25	0.25
3568407	poiuyt21	0.57	0	0	0.14	0.28
9944030	V.C	0.09	0.34	0.25	0	0.31
1854159	ribelle	0.11	0.02	0.59	0.23	0.02
2097057	marcokhan	0.23	0.17	0.52	0	0.05
2463695	Lettore_2463695	0.06	0	0.8	0	0.13
2804088	mastropazzo	0.09	0.03	0.48	0.37	0.01
2892568	trattaratt	0.23	0.07	0.19	0.47	0.02
3527015	charlotte23	0.15	0.23	0.24	0.25	0.11
5390956	Lettore_5390956	0.26	0.15	0.3	0.07	0.19
2432498	areo	0.12	0.25	0.19	0.3	0.11
8335632	Lettore_8335632	0.13	0.09	0.36	0.27	0.13
9826925	Sergente	0.02	0.02	0.76	0.16	0.01
5726608	battibecco	0.07	0.07	0.42	0.4	0.02
2020153	xrandom	0.09	0.01	0.49	0.37	0.01
9091920	Lettore_9091920	0.42	0.05	0.05	0.36	0.1
5450924	Onti11	0.12	0.13	0.24	0.37	0.11
9299995	clmaster	0.34	0.02	0.3	0.25	0.06
1851210	PietroT	0.11	0.11	0.55	0.11	0.11
3107729	Lettore_3107729	0.25	0.12	0.5	0	0.12
9080518	nzr_44mr	0.12	0.03	0.44	0.31	0.08
9043148	Gianpaolo	0.09	0.26	0.21	0.1	0.31
8668817	Lettore_8668817	0.14	0.04	0.54	0.22	0.04
2705029	s1mb074	0.18	0.06	0.31	0.31	0.12
9025435	Alvaro5	0.08	0.04	0.44	0.34	0.08
2183633	foxina	0.06	0.26	0.2	0.13	0.33
2147906	Alex99	0.04	0.08	0.79	0	0.08
8391960	LoreSan	0.08	0.01	0.44	0.44	0.01
932757	fuma47	0.18	0	0.57	0.19	0.04
5399732	Lettore_5399732	0.07	0.07	0.46	0.12	0.25
5258863	ScappoDallItalia	0.05	0.02	0.48	0.35	0.07
299464	MariaB	0.14	0.22	0.25	0.2	0.17
3207117	marcetessa	0.53	0.14	0.15	0.08	0.08
2147960	Lettore_2147960	0.04	0.08	0.25	0.53	0.08
9873465	Lettore_9873465	0.06	0.06	0.42	0.35	0.08
9254556	JUVE.RIMINI	0.18	0.14	0.26	0.23	0.16
2736898	Grease	0.16	0.27	0.09	0.41	0.05
8381228	luigirodini	0.26	0.22	0.18	0.25	0.07
9150764	GiMag	0.13	0.15	0.4	0.26	0.03
2937372	Jopardo	0.09	0.29	0.27	0.25	0.07
4542097	Lettore_Milano	0.02	0.1	0.61	0.23	0.02
3519152	ciacolealvento	0.02	0.06	0.38	0.36	0.15
2524797	Lettore_2524797	0.21	0.25	0.1	0.28	0.14
5746945	Lettore_5746945	0.09	0.04	0.63	0.17	0.05
9998179	Lettore_9998179	0.17	0.12	0.22	0.36	0.11
1074423	Lettore_1074423	0.17	0.05	0.43	0.3	0.03
287991	opinor	0.05	0.05	0.16	0.66	0.05
5328282	separato_16042014	0.14	0.28	0.21	0.14	0.21
1439208	discobuba	0.25	0.22	0.18	0.14	0.18
10030448	pain84	0.4	0.11	0.28	0.17	0.01
9095291	Lettore_9095291	0.03	0.14	0.38	0.35	0.08
3309789	akeiltros	0.14	0.28	0.28	0.14	0.14
1980870	vivo_su_marte	0.18	0.13	0.32	0.29	0.06
1769010	GianfrinScozia	0.03	0.19	0.41	0.18	0.17
7179781	PietroB	0.15	0	0.23	0.53	0.07
3374662	Corbaccio	0.07	0.16	0.45	0.21	0.09
3716145	Lettore_3716145	0.03	0.18	0.37	0.03	0.35
9078084	Piemme67	0.06	0.06	0.65	0.17	0.04
8731341	evasorenonfiscale	0.05	0.23	0.43	0.12	0.15
9075814	Lettore_9075814	0.07	0.21	0.37	0.19	0.14
5688883	CHICCOTLC	0.05	0.1	0.52	0.21	0.1
2159785	Lettore_2159785	0.09	0.63	0	0.09	0.18
6016325	Lettore_6016325	0.1	0.13	0.46	0.13	0.16
5639726	Lettore_5639726	0.24	0.15	0.33	0.12	0.12
3662743	Rubinio	0.1	0	0.5	0.35	0.05
9827914	Zorro_Zorro_zorro	0.13	0.09	0.21	0.12	0.43
9074778	cae62it	0.08	0.09	0.33	0.37	0.11
3541008	quintosertorio	0.4	0.2	0	0.2	0.2
2156577	SiVisPacemParaBellum	0.24	0.03	0.55	0.12	0.03
867238	brokenboa	0.2	0	0.29	0.29	0.2
9946120	Lettore_9946120	0.16	0.08	0.5	0.16	0.08
1773721	feidtublec	0.1	0.1	0.48	0.21	0.09
2906687	guardalaluna	0.04	0.13	0.42	0.26	0.13
10408466	Lorenzo80	0.06	0.37	0.12	0.37	0.06
9037312	Lettore_9037312	0.11	0.22	0.11	0.33	0.22
5693800	coala_2	0.12	0.06	0.43	0.25	0.12
5502118	m.nino	0.16	0.08	0.33	0.16	0.25
8910088	Lettore_8910088	0.03	0.18	0.53	0.12	0.12
9719857	wens	0.07	0.07	0.46	0.07	0.3
3650731	MafaldaR31	0.21	0.23	0.2	0.24	0.08
1867704	NunuPlus69	0.33	0	0	0.33	0.33
9468431	ronny	0.2	0.06	0.2	0.26	0.26
377618	Lettore_377618	0.28	0	0	0.42	0.28
9731991	periclo	0.09	0.22	0.27	0.27	0.13
829931	nauta	0.58	0.07	0.07	0.21	0.05
8440638	Lettore_8440638	0.2	0.4	0	0	0.4
9479142	Egleaphit	0.2	0.03	0.49	0.18	0.09
2113179	ocram67	0.24	0.5	0.05	0.16	0.01
9602569	zaqwax	0.02	0.09	0.37	0.44	0.06
9826891	berenice	0.07	0.23	0.23	0.23	0.23
5415759	Lettore_5415759	0.07	0.14	0.4	0.24	0.12
2020002	Lettore_2020002	0.25	0.25	0.18	0.25	0.06
2693983	Lettore_2693983	0.16	0	0.33	0.33	0.16
625958	ppaolo	0.03	0.13	0.5	0.29	0.02
2035742	Lettore_2035742	0.5	0	0.25	0.12	0.12
8250320	Lukano61	0.15	0.07	0.63	0.12	0.03
2749618	Medsor	0.11	0.27	0.22	0.27	0.11
1983355	Lettore_1983355	0.23	0.01	0.41	0.16	0.17
9124774	Lettore_9124774	0.07	0.14	0.5	0.19	0.08
5097201	epifani0	0.09	0.06	0.2	0.56	0.06
9827437	pippo61	0.15	0.08	0.19	0.54	0.02
10192199	Peps26	0.08	0.04	0.47	0.25	0.14
9653128	Lettore_9653128	0.16	0	0.33	0.33	0.16
2566337	bledraner	0.11	0.44	0.27	0.05	0.11
2779224	Pigione_1893	0.04	0.4	0.31	0.13	0.09
3036067	vitorso99	0.35	0.14	0.07	0.14	0.28
2520442	malloc	0.2	0.03	0.13	0.58	0.03
3282128	Lettore_3282128	0.12	0.25	0.31	0.12	0.18
2079817	m89arco	0.13	0.11	0.11	0.52	0.1
1891155	paoloerre	0.22	0.14	0.29	0.28	0.05
5389354	Lettore_5389354	0.45	0.05	0.15	0.18	0.15
2724308	PGITALIA	0.04	0.28	0.64	0	0.04
9267783	DataPerMorta	0.47	0.05	0.17	0.27	0.02
9074976	Lettore_9074976	0.03	0.18	0.47	0.13	0.17
10306438	Lettore_10306438	0.19	0.02	0.52	0.1	0.15
8488157	Lettore_8488157	0.27	0.05	0.54	0.11	0.01
8905638	zanzi74	0.33	0	0.33	0	0.33
2818268	DomenicoLDG	0.22	0.04	0.52	0.14	0.06
9084527	Lettore_9084527	0.21	0.2	0.1	0.23	0.24
1380153	aarchiar	0.06	0.03	0.33	0.46	0.09
2474790	Lettore_2474790	0.28	0.06	0.39	0.21	0.04
2319512	Ventodelnord88	0.04	0.04	0.82	0.04	0.04
2939542	Lettore_2939542	0.04	0.12	0.67	0.06	0.09
2938698	Lettore_2938698	0.04	0.13	0.13	0.26	0.43
2036224	orcaved	0.08	0.18	0.41	0.22	0.08
2952943	francobene111	0.08	0.14	0.37	0.14	0.25
5361854	valeriosavio1984	0.15	0.13	0.41	0.24	0.05
7768117	toomuchXpoiled	0.26	0.15	0.19	0.11	0.26
8927559	Lettore_8927559	0.15	0.1	0.38	0.27	0.08
2096854	ninolombard	0.06	0.13	0.53	0.2	0.06
2803601	Rascalino1	0.07	0.1	0.4	0.38	0.04
1786494	peppe54	0.1	0.18	0.4	0.15	0.15
8481797	Lettore_8481797	0.31	0.33	0.17	0.13	0.04
5716082	Rivkah	0.05	0.3	0.33	0.21	0.08
10279123	Lettore_10279123	0.04	0.47	0.3	0.09	0.07
8676246	ing.annina	0.02	0.11	0.45	0.36	0.03
1158704	waldimiro	0.21	0.21	0.39	0.1	0.07
10263839	Crimax	0.33	0.05	0.16	0.16	0.27
1863259	dante_fin	0.16	0.16	0.33	0.16	0.16
8870005	vastero	0.06	0.06	0.62	0.2	0.03
2099516	Lettore_2099516	0.17	0.16	0.18	0.32	0.14
9052989	Lettore_9052989	0.2	0.06	0.26	0.2	0.26
3452014	ukunda	0.1	0.11	0.26	0.42	0.07
5367572	Gigi1956	0.07	0.07	0.36	0.4	0.07
2736908	mr.emme	0.27	0.3	0.21	0.16	0.04
9455075	Lettore_9455075	0.13	0.28	0.18	0.26	0.13
3501002	mau_48	0.13	0.57	0.06	0.13	0.08
3204548	vapsga	0.23	0	0.23	0.38	0.15
5193727	chairam	0.1	0.06	0.5	0.31	0.01
6041574	Lettore_6041574	0.11	0.35	0.11	0.11	0.29
8999399	paoloeb2	0.08	0.16	0	0.5	0.25
2937203	sciarada	0.08	0.12	0.44	0.3	0.03
7765718	LordSinclair	0.07	0.38	0.23	0.07	0.23
2606600	Marlon.	0.08	0.13	0.21	0.44	0.11
1432563	Baccheio	0.27	0.21	0.08	0.26	0.16
7774654	Lettore_7774654	0.09	0.12	0.42	0.33	0.01
9120375	Lettore_9120375	0.03	0.03	0.56	0.3	0.05
937796	Lettore_937796	0.08	0.19	0.41	0.22	0.08
2480805	Yuna	0.25	0.08	0.16	0.25	0.25
2780912	Lettore_2780912	0.19	0.13	0.38	0.13	0.13
8904652	Lettore_8904652	0.5	0	0.25	0	0.25
2009242	cervantes	0.11	0.05	0.66	0.11	0.05
9094974	mammadigiammi	0.06	0.1	0.62	0.1	0.1
7759007	sluppo	0.17	0.17	0.51	0.09	0.03
9281448	davidroby	0.08	0.14	0.34	0.34	0.07
5782183	Lettore_5782183	0.4	0.13	0.19	0.13	0.13
8514828	Mahaut	0.25	0.16	0	0.25	0.33
926680	lalys43	0.34	0.2	0.19	0.1	0.13
8221104	TRF957	0.15	0.31	0.35	0.1	0.06
5449162	iannizzero	0.2	0.04	0.39	0.32	0.02
7817346	sbarli	0.17	0.25	0.35	0.17	0.03
2182031	lalage1	0.09	0.24	0.18	0.3	0.18
9072110	Lettore_9072110	0.07	0.07	0.53	0.23	0.07
2892265	franzzzz	0.17	0.11	0.17	0.44	0.09
9050583	Lettore_9050583	0.26	0.06	0.28	0.34	0.03
8855319	Lettore_8855319	0.26	0.14	0.3	0.23	0.04
9658623	Lettore_9658623	0.05	0.05	0.39	0.16	0.32
10279366	Fanango	0.25	0	0	0.37	0.37
2063910	Lettore_2063910	0.5	0	0	0.25	0.25
1870601	Lettore_1870601	0.06	0.07	0.43	0.37	0.05
5645561	Lettore_5645561	0.12	0.32	0.24	0.08	0.24
2795967	fulviovolpe	0.28	0.04	0.33	0.3	0.02
9513128	Lettore_9513128	0.17	0.52	0.13	0.04	0.13
8016953	sindafi	0.06	0.13	0.4	0.26	0.13
9656362	bartred	0.21	0.16	0.29	0.27	0.05
9774322	mikhau	0.16	0.05	0.24	0.44	0.1
8945567	Aldo43	0.12	0.05	0.28	0.37	0.16
8023911	Spreadxxx	0.28	0.09	0.45	0.15	0.01
9878835	dreamer1	0.75	0	0	0	0.25
2939796	merez	0.16	0.3	0.28	0.09	0.15
2861163	Priscilliano	0.05	0.09	0.52	0.3	0.01
1641720	Lettore_1641720	0.02	0.03	0.3	0.6	0.01
9332009	Triton	0.07	0.13	0.46	0.31	0.01
2838896	Lettore_2838896	0.11	0.15	0.33	0.36	0.03
9904317	Lettore_9904317	0.11	0.11	0.11	0.33	0.33
2000428	mauroAE	0.27	0.16	0.27	0.21	0.07
1580497	simplicio	0.12	0.04	0.6	0.08	0.16
845602	Lettore_845602	0.14	0.28	0.28	0	0.28
2319299	babeitas	0.04	0.09	0.21	0.59	0.07
2761945	Lettore_2761945	0.15	0.12	0.46	0.16	0.09
326316	Lettore_326316	0.04	0.14	0.48	0.09	0.22
532207	colombanus	0.17	0.17	0.31	0.22	0.11
1613394	giorgio1950	0.09	0.04	0.52	0.26	0.07
2792423	Lettore_2792423	0.12	0.11	0.38	0.28	0.09
2728224	Lettore_785456	0.01	0	0.67	0.26	0.03
2968966	cv1952	0.14	0.1	0.32	0.3	0.12
9048303	greta26112010	0.03	0.17	0.56	0.17	0.06
2516041	giomart	0.2	0.06	0.53	0.06	0.13
9055309	siculo_73	0.09	0.4	0.18	0.27	0.04
8246103	IamUbik84	0.08	0.17	0.19	0.5	0.04
5816674	Lettore_5816674	0.33	0.16	0.16	0.16	0.16
2594863	ebenza	0.02	0.08	0.52	0.34	0.01
335059	Lettore_335059	0.07	0.06	0.66	0.16	0.02
9009283	Frido	0.06	0.42	0.21	0.14	0.15
2743153	spiritolibero62	0.11	0.1	0.39	0.27	0.1
3211314	Lettore_3211314	0.15	0.24	0.24	0.21	0.13
2797372	antonioantonio	0.06	0.15	0.37	0.28	0.12
5210452	Lettore_5210452	0.1	0.37	0.39	0.11	0.01
2873514	toruzzo	0.07	0.21	0.5	0.07	0.14
2804873	thecas89	0.11	0.11	0.23	0.41	0.11
9902394	toni1951	0.07	0.07	0.47	0.25	0.12
9375093	Medito	0.06	0.4	0.33	0.06	0.13
9357497	Brunarello	0.05	0.19	0.63	0.02	0.08
5172721	Maurizio-MI	0.03	0.04	0.65	0.23	0.03
5660772	anonimoveneziano	0.28	0.14	0.28	0.19	0.09
9051010	direttore	0.12	0.28	0.2	0.19	0.19
1800058	IngegnereKartista	0.33	0.22	0.07	0.28	0.07
991453	Lettore_991453	0.12	0.04	0.3	0.32	0.2
10490992	rosy1415	0.03	0.09	0.41	0.22	0.22
5461038	Lettore_5461038	0.44	0.33	0	0.11	0.11
3262699	Veliero	0.05	0.05	0.6	0.26	0.02
8022952	Lettore_8022952	0.01	0.12	0.41	0.42	0.01
8664210	cjaupole	0.18	0.09	0.35	0.31	0.05
2888577	sergrt	0.05	0.25	0.55	0.05	0.1
2726099	Pasquale_Paoli	0.1	0.04	0.13	0.69	0.01
329734	fbarto	0.34	0.3	0.04	0.08	0.21
8747777	ireago	0.06	0.06	0.61	0.12	0.13
1957868	robpc56	0.04	0.29	0.41	0.2	0.04
9835782	Lettore_9835782	0.02	0.23	0.47	0.2	0.05
97726	AlleMB	0.17	0.05	0.39	0.23	0.13
293011	max987	0.06	0.4	0.26	0.13	0.13
9077431	Dogarina	0.12	0.08	0.31	0.29	0.17
1817908	jo-nik	0.02	0.01	0.54	0.38	0.02
1842346	Lettore_1842346	0.2	0.2	0.32	0.22	0.04
9886002	1933	0.06	0.25	0.34	0.12	0.21
9423899	Lettore_9423899	0.15	0.37	0.17	0.25	0.05
9659025	Marione	0.02	0.1	0.39	0.37	0.11
9077376	massi1964	0.08	0.08	0.43	0.29	0.1
7767232	pirimpilla	0.17	0.28	0.32	0.1	0.1
9109307	rosarioamicoroxas	0.18	0.04	0.53	0.15	0.08
2854914	giandrea77	0.09	0.14	0.29	0.39	0.07
9145434	Anghia	0.06	0.53	0.13	0.13	0.13
2162511	Lettore_2162511	0.11	0.29	0.27	0.23	0.07
2779421	Lettore_2779421	0.19	0.15	0.11	0.35	0.17
2941984	marques_de_pombal	0.12	0.12	0.28	0.43	0.02
9854962	1948	0.06	0.11	0.43	0.34	0.04
9446761	Lettore_9446761	0.06	0.08	0.38	0.25	0.2
3531918	JEANDEC55	0.65	0.05	0.16	0.11	0.01
9049619	Lettore_9049619	0.06	0.11	0.52	0.18	0.11
9150562	arizona2	0.08	0.17	0.55	0.13	0.04
9078195	Lettore_9078195	0.01	0.08	0.47	0.37	0.04
5280754	fabrizio74_74	0.03	0.44	0.48	0	0.03
8829829	ambross	0.08	0.04	0.45	0.39	0.02
8792880	marcofan	0.37	0.18	0.12	0.25	0.06
1952945	rogad79	0.09	0.26	0.14	0.45	0.03
2159119	Lettore_2159119	0.02	0.04	0.65	0.22	0.04
8967509	nicolascialoja	0.1	0.04	0.49	0.32	0.04
859839	realsicilian	0.1	0.2	0.3	0.36	0.03
2698850	redz68	0.03	0.23	0.28	0.43	0.01
9685129	Lettore_9685129	0.11	0.11	0.33	0.3	0.11
2516380	SAFETY61	0.58	0	0.16	0.16	0.08
9774301	neffes	0.1	0.01	0.59	0.23	0.04
8516255	grambo	0.25	0.1	0.25	0.2	0.2
7760642	Lettore_7760642	0.23	0.3	0.3	0.03	0.11
9047202	Lettore_9047202	0.41	0	0.25	0.16	0.16
7799953	memorespecuniae	0.31	0.29	0.17	0.09	0.12
2955582	denci1964	0.13	0.11	0.49	0.2	0.05
5766841	nuvolla23	0.13	0.04	0.39	0.26	0.16
8874482	mogianno	0.07	0.07	0.61	0.15	0.07
9524872	MOONRAY.	0.2	0.11	0.32	0.11	0.23
3652846	anna47	0.06	0.19	0.27	0.4	0.06
9310597	Lettore_9310597	0.18	0.07	0.31	0.25	0.16
9067392	goffredo	0.01	0.02	0.37	0.46	0.11
1795689	eugenio46	0.04	0.28	0.5	0.07	0.07
9641595	Lettore_9641595	0.15	0.15	0.37	0.22	0.1
2535599	Ecate	0.06	0.03	0.57	0.28	0.04
5228395	Lettore_5228395	0.15	0.14	0.22	0.41	0.05
9050500	Girasole	0.1	0.08	0.48	0.26	0.06
9134488	Lettore_9134488	0.1	0.26	0.36	0.15	0.1
5830110	Lettore_5830110	0.28	0.18	0.13	0.18	0.21
5639850	klaatu59	0.21	0.07	0.42	0.13	0.15
797516	matrixmorbidoso	0.16	0.08	0.37	0.31	0.06
9040123	ramoizevir	0.14	0.05	0.39	0.32	0.1
3026132	Lettore_3026132	0.1	0.07	0.13	0.47	0.21
5506724	rossigeologo	0.23	0	0.41	0.23	0.11
9742777	Kristal	0.22	0.13	0.38	0.24	0.01
5232887	Lettore_5232887	0.15	0.34	0.21	0.05	0.23
5336303	Lettore_5336303	0.08	0.12	0.11	0.67	0.02
1100105	Alexssxandro	0.05	0.13	0.64	0.11	0.05
9826423	Mustanghino	0.33	0.22	0.28	0.06	0.09
3207672	formichiere	0.16	0	0.33	0.33	0.16
410599	fporto	0.2	0.4	0	0.2	0.2
8841230	vallemon	0.03	0.02	0.61	0.26	0.06
1807022	webbolo	0.21	0.23	0.12	0.25	0.17
1874133	Lettore_1874133	0.17	0.04	0.39	0.26	0.11
9038083	Lettore_9038083	0.08	0.23	0.3	0.27	0.08
2319012	nicknamlibero	0.01	0.05	0.66	0.11	0.13
2562539	aldocar	0.07	0.03	0.63	0.18	0.06
9543924	JCorr	0.26	0.09	0.19	0.26	0.19
8790373	Alik61	0.21	0.22	0.34	0.16	0.04
5998900	ilNibbio	0.1	0.14	0.2	0.37	0.16
9369447	Lettore_9369447	0.13	0.27	0.22	0.18	0.18
5847363	Lettore_5847363	0.12	0.09	0.46	0.21	0.09
3067873	Mauro46	0.12	0.12	0.62	0	0.12
657	ForteMente	0.14	0.21	0.35	0.1	0.17
8323696	Lettore_8323696	0.2	0.1	0.5	0	0.2
10509113	OcchiChiusi	0.22	0.22	0.22	0	0.33
9146303	allstarz	0.01	0.11	0.4	0.44	0.01
2184810	mariminu	0.19	0.25	0.29	0.12	0.12
9076576	Lettore_9076576	0.05	0.16	0.42	0.24	0.11
2811930	ico159	0.19	0.04	0.47	0.14	0.14
5684652	Franz82	0.1	0.16	0.33	0.37	0.02
2783784	hastalavictoria2009	0.07	0.05	0.48	0.36	0.02
9332452	kochka	0.04	0.24	0.19	0.29	0.22
8884717	Lettore_8884717	0.31	0.16	0.23	0.1	0.17
5421360	Valeria...	0.03	0.39	0.21	0.21	0.15
8247879	Bjelka2013	0.16	0.07	0.35	0.34	0.06
9197079	Homorusticus	0.41	0.03	0	0.24	0.31
7956685	biondo1960	0.1	0.05	0.65	0.15	0.05
3708125	SAYAN50	0.03	0.03	0.65	0.14	0.12
2852975	afdera	0.03	0.07	0.49	0.37	0.01
3458941	francodieci	0.09	0.03	0.6	0.18	0.09
5703549	veloce	0.29	0.06	0.28	0.25	0.09
9563286	Edward_Kenway	0.32	0.08	0.12	0.4	0.06
9195793	maurob	0.18	0.06	0.18	0.06	0.5
8885584	baroreddu	0.03	0.05	0.73	0.13	0.04
3198338	Lettore_3198338	0.09	0.01	0.66	0.2	0.02
9231554	Lettore_9231554	0.17	0.04	0.21	0.53	0.02
913343	eagle1	0.12	0.03	0.5	0.17	0.17
2857568	spillobilli	0.06	0.06	0.56	0.12	0.18
2980727	Lettore_2980727	0.07	0.11	0.3	0.18	0.31
8147952	normabevin	0.3	0.05	0.31	0.21	0.1
9223283	martins	0.02	0.38	0.23	0.17	0.17
751600	CatoneIlCensore	0.07	0.35	0.35	0.14	0.07
2815650	doppiavela	0.15	0	0.46	0.23	0.15
1907750	komerompi	0.15	0.07	0.3	0.23	0.23
819889	Braun30	0.4	0.2	0	0.2	0.2
3644151	Lettore_Shar	0.1	0.06	0.4	0.29	0.13
2190958	jadefox	0.25	0.08	0.25	0.33	0.08
3074344	praiese_doc	0.1	0.35	0.25	0.25	0.05
1823261	Perla_nera	0.16	0.32	0.24	0.22	0.04
5858396	britas	0.1	0	0.2	0.6	0.1
9247488	mercurio12	0.08	0.04	0.14	0.66	0.08
1334847	aletoro1954	0.07	0	0.38	0.48	0.05
3205820	bongo1	0.03	0.02	0.74	0.17	0.01
9175635	Lettore_9175635	0.11	0.11	0.33	0	0.44
9333015	Lettore_9333015	0.04	0.14	0.57	0.18	0.05
1826022	Lettore_1826022	0.07	0.05	0.27	0.56	0.03
9127042	zialore	0.14	0.17	0.44	0.17	0.06
3024699	Lettore_884568	0.27	0.2	0.22	0.2	0.08
8803248	katosullivan	0.1	0.16	0.38	0.27	0.07
3417158	zorro54	0.11	0.09	0.31	0.32	0.15
8883872	Lettore_8883872	0.04	0.02	0.56	0.33	0.02
2013475	Marale	0.09	0.03	0.29	0.55	0.01
5401992	andriy07	0.23	0.13	0.2	0.29	0.13
9056788	recherche	0.1	0	0	0.6	0.3
1842472	giulio47	0.05	0.05	0.23	0.52	0.11
5861422	Lettore_5861422	0.37	0.11	0.14	0.26	0.09
1903992	cxar71	0.15	0.41	0.21	0.11	0.1
9070816	marzia	0.02	0.36	0.32	0.22	0.06
5397523	Lettore_5397523	0.12	0.23	0.46	0.1	0.07
2885018	Lettore_2885018	0.1	0.26	0.52	0.05	0.05
7960920	Lettore_7960920	0.22	0.08	0.22	0.36	0.11
9687934	Moekefritte	0.11	0.11	0.38	0.27	0.11
1128714	beam	0.11	0.22	0.11	0.22	0.33
2117060	Marioga	0.17	0.11	0.3	0.27	0.13
8304717	marco80Roma	0.25	0.25	0	0.25	0.25
